time,mag,mag.error,phase
2185.8255,13.118,0.005,0.859577949959279
2189.86169,13.373,0.005,0.138144523515098
2189.86524,13.383,0.005,0.13838953461123
2192.76512,13.504,0.005,0.338531162067547
2192.76843,13.512,0.005,0.338759609033246
2201.77532,13.174,0.005,0.960390029229976
2201.77885,13.176,0.005,0.960633659981907
2212.8096,13.028,0.005,0.72194525117319
2212.81291,13.027,0.005,0.722173698138889
2217.794,13.277,0.005,0.0659546335935757
2217.7973,13.277,0.005,0.0661823903871905
2223.81457,13.363,0.005,0.481477578686039
2223.81787,13.375,0.005,0.481705335479623
2226.78894,12.956,0.005,0.686760298128651
2226.79223,12.952,0.005,0.68698736475015
2228.83237,13.092,0.005,0.827792135926458
2228.83565,13.089,0.005,0.828018512375842
2230.74579,13.174,0.005,0.959851046228763
2230.7491,13.177,0.005,0.960079493194462
2232.76604,13.325,0.005,0.0992830650946149
2232.76932,13.331,0.005,0.0995094415439982
2234.75998,13.495,0.005,0.236899241160599
2234.76327,13.497,0.005,0.237126307782098
2238.71065,13.347,0.005,0.509563462901809
2238.71395,13.349,0.005,0.509791219695393
2240.83957,12.913,0.005,0.656495581997887
2240.84287,12.886,0.005,0.65672333879147
2242.84532,13.099,0.005,0.794926851316093
2242.8486,13.088,0.005,0.795153227765476
2248.72657,13.453,0.005,0.200834318686277
2248.72986,13.448,0.005,0.201061385307776
2251.7562,13.407,0.005,0.409930929163433
2251.75951,13.411,0.005,0.410159376129132
2253.7738,13.318,0.005,0.549180052422292
2253.78287,13.316,0.005,0.549806038518627
2255.70212,12.945,0.005,0.682267319156284
2255.70541,12.937,0.005,0.682494385777784
2258.70157,13.129,0.005,0.88928099023023
2258.70486,13.125,0.005,0.889508056851698
2264.81019,13.516,0.005,0.31088090067901
2264.81347,13.519,0.005,0.311107277128393
2269.78308,12.898,0.005,0.654095895010247
2269.78637,12.889,0.005,0.654322961631715
2271.73138,13.086,0.005,0.788562125603635
2271.73468,13.086,0.005,0.788789882397219
2273.82172,13.158,0.005,0.932831560730949
2273.82502,13.156,0.005,0.933059317524564
2275.79519,13.283,0.005,0.0690349545045483
2277.79798,13.462,0.005,0.207261932880635
2277.80126,13.47,0.005,0.20748830933005
2279.7948,13.498,0.005,0.345076878511969
2279.79809,13.51,0.005,0.345303945133437
2281.75763,13.365,0.005,0.480545929169265
2283.81483,12.952,0.005,0.622528133951219
2289.75169,13.244,0.005,0.032273648379559
2289.75499,13.249,0.005,0.0325014051731423
2291.7578,13.411,0.005,0.17072976389343
2293.72615,13.528,0.005,0.306579789550929
2293.72947,13.536,0.005,0.306808926688744
