time,mag,mag.error,phase
3182.95081,15.462,0.006,0.0355278105215437
3191.94703,15.493,0.007,0.544758742054464
3195.91642,15.182,0.006,0.682619551073518
3197.89196,15.105,0.006,0.723555196764653
3199.92542,15.118,0.006,0.94160241326661
3203.85413,15.145,0.005,0.955069253009228
3204.92012,15.118,0.006,0.214723316683448
3210.8711,15.11,0.006,0.412019857776822
3211.93571,15.22,0.006,0.667454067037607
3216.69893,15.11,0.006,0.232740260315294
3218.81537,15.145,0.007,0.704529157510895
3223.81208,15.247,0.007,0.983796370618929
3226.80115,15.424,0.006,0.123970454902027
3229.80624,15.043,0.005,0.313131544786351
3231.76058,15.042,0.006,0.289240441494056
3238.92453,15.164,0.006,0.195636120118092
3240.74887,15.063,0.006,0.77422249946753
3242.69147,15.126,0.006,0.714432054992611
3243.82416,15.225,0.006,0.178045748725818
3244.80522,15.208,0.006,0.177995293944375
3245.75065,15.583,0.007,0.0689930907523167
3246.74312,15.543,0.007,0.103832881532975
3247.73826,15.333,0.006,0.146837173247987
3248.78468,15.035,0.006,0.346648808731844
3250.78784,15.204,0.006,0.472042700033313
3253.7433,15.351,0.007,0.509441924252791
3256.7261,15.384,0.006,0.630443191738298
3260.68103,15.115,0.006,0.72408726536555
3262.71302,15.135,0.005,0.937639419555382
3264.66868,15.117,0.005,0.917784698746564
3266.73973,15.092,0.006,0.250777080072783
3268.66939,15.313,0.006,0.151417855793013
3270.64315,15.202,0.006,0.186910500861708
3271.64088,15.122,0.006,0.23783466426885
3272.69785,15.206,0.006,0.469906780968902
3274.68005,15.458,0.007,0.531207811010831
3276.68873,15.211,0.006,0.673481119972882
3277.72139,15.035,0.005,0.831216525927788
3278.77901,15.613,0.007,0.0652762552151984
3280.67471,15.041,0.005,0.862071917938298
3282.66544,15.16,0.005,0.949456540850092
3286.62835,15.611,0.006,0.0675023813123406
3288.64204,15.132,0.005,0.225095596521186
3293.57368,15.043,0.005,0.305387500362634
3295.59203,15.205,0.005,0.477230368884764
3297.57369,15.467,0.005,0.536880151546899
3299.63061,15.057,0.005,0.826664893103894
3301.60466,15.078,0.006,0.863044319172694
3303.6669,15.243,0.006,0.169096905287522
3306.59779,15.378,0.005,0.131364373724976
3308.58742,15.12,0.006,0.215385344566974
3310.58646,15.047,0.006,0.328180829934953
3312.58872,15.152,0.005,0.450822642271489
3315.60927,15.169,0.005,0.687258333064981
3320.57248,15.07,0.006,0.864087051314178
3321.57451,15.109,0.006,0.928160036448075
3324.5988,15.216,0.006,0.176032144281823
3329.55225,15.025,0.005,0.32301609507431
3334.54269,15.557,0.007,0.583110491384086
3336.56429,15.059,0.005,0.764891422839389
3349.57261,15.479,0.006,0.542584599672042
3352.60842,15.038,0.005,0.825683318272618
3355.5774,15.075,0.005,0.904424884297158
3362.56034,15.064,0.005,0.257316325484702
3367.59005,15.336,0.006,0.637493100689414
3372.54133,15.04,0.005,0.777841483308315
3378.56796,15.146,0.006,0.20646555084981
3386.53493,15.564,0.006,0.568388397845446
3389.56976,15.02,0.005,0.848490408238865
3398.53387,15.074,0.006,0.259533277986356
3544.94196,15.154,0.005,0.955783264607474
3552.94787,15.155,0.007,0.436779394878246
3561.91554,15.04,0.005,0.858708265868501
3564.8828,15.128,0.005,0.932190303201227
3569.90138,15.055,0.005,0.278333035190258
3570.71666,15.037,0.006,0.771349634814066
3573.83444,15.038,0.005,0.305101589937237
3574.85489,15.109,0.005,0.425500457914759
3577.87297,15.248,0.006,0.65438322087876
3578.87152,15.109,0.005,0.707814834011393
3581.81803,15.097,0.005,0.71784616184246
3582.80099,15.11,0.006,0.723605651546096
3583.81502,15.036,0.005,0.824373022898104
3585.844,15.447,0.005,0.0287210018779846
3589.81074,15.282,0.005,0.158478467274284
3591.82511,15.029,0.005,0.318151031035772
3593.86056,15.471,0.006,0.54228339991805
3596.7644,15.093,0.006,0.42183560609097
3601.78312,15.036,0.005,0.768406439252125
3603.85124,15.57,0.006,0.0924392746126732
3608.79395,15.134,0.005,0.206581749741292
3615.80697,15.285,0.005,0.651453785713528
3618.80422,15.029,0.005,0.816641209935038
3620.83606,15.472,0.006,0.0297346842983364
3622.78772,15.318,0.006,0.997648501415164
3626.68777,15.109,0.005,0.923476915408276
3629.71429,15.195,0.006,0.178168063346234
3631.72082,15.029,0.005,0.313866961443517
3633.66558,15.079,0.006,0.260681506486385
3638.68895,15.406,0.006,0.621471414307805
3641.67354,15.07,0.005,0.74794626107016
3643.69807,15.131,0.006,0.938686738495305
3646.62576,15.07,0.005,0.891169037275801
3650.62736,15.413,0.006,0.127523694634164
3651.70647,15.119,0.005,0.427296953907167
3653.67284,15.131,0.005,0.4401919727976
3655.66832,15.475,0.006,0.542101456919311
3657.60113,15.149,0.005,0.452374509020283
3658.60274,15.35,0.006,0.515163190637026
3659.61675,15.425,0.006,0.615869404678825
3660.65627,15.024,0.005,0.794581768087999
3664.67528,15.558,0.006,0.0841738641168236
3666.69879,15.066,0.005,0.271795318713005
3669.65189,15.048,0.005,0.301977980309834
3671.59727,15.087,0.005,0.250688401974719
3673.64572,15.376,0.007,0.514573022592473
3675.63564,15.497,0.006,0.599480774434577
3681.58676,15.042,0.005,0.79720541670219
3683.61672,15.322,0.006,0.00455010389061752
3685.61355,15.499,0.006,0.110587706463204
3687.61856,15.094,0.005,0.241638648972146
3689.5717,15.127,0.005,0.214078107057623
3692.54324,15.055,0.005,0.300647808809676
3694.54056,15.105,0.006,0.408183765484451
3696.53279,15.302,0.006,0.500155186674378
3698.53805,15.357,0.007,0.631970595564399
3700.54979,15.034,0.005,0.78360097301195
3702.55565,15.106,0.006,0.91725110121239
3704.55654,15.487,0.006,0.0357036377885662
3706.56301,15.242,0.005,0.171219063955224
3708.55644,15.085,0.006,0.26685992376599
3711.56388,15.187,0.006,0.463206997618555
3713.58624,15.293,0.006,0.647311906868724
3716.5875,15.053,0.006,0.824761371819664
3719.58674,15.315,0.006,0.996033948422885
3722.5653,15.534,0.007,0.104069866111596
3725.6059,15.09,0.005,0.401815760543895
3727.56869,15.094,0.006,0.403763620879242
3732.61361,15.022,0.005,0.830450530614822
3740.55467,15.51,0.006,0.113144082035471
3745.54792,15.098,0.006,0.381831080449668
3749.54991,15.422,0.007,0.619378305361235
3755.54924,15.219,0.006,0.964522644257785
3760.55108,15.099,0.006,0.259476707473197
3765.53937,15.342,0.006,0.512996692916815
3771.55778,15.124,0.006,0.916485105900815
3775.56268,15.291,0.006,0.162930719468568
3780.54522,15.075,0.006,0.398867978184905
3871.85575,15.464,0.007,0.614189107576508
3900.94426,15.562,0.007,0.562940810425958
3905.93895,15.034,0.005,0.836031135186273
3913.89765,15.255,0.005,0.172665434345473
3917.92709,15.287,0.006,0.49415106772991
3921.90984,15.209,0.006,0.672864960070969
3931.88097,15.293,0.006,0.163239563886163
3933.92574,15.123,0.005,0.415871239397789
3935.90412,15.186,0.005,0.465491223160743
3937.86492,15.192,0.006,0.461353931114379
3938.92463,15.14,0.005,0.701804599335208
3944.87915,15.109,0.005,0.909925984364643
3946.84404,15.119,0.005,0.918295362287151
3951.86569,15.093,0.006,0.273825741417481
3955.82706,15.079,0.006,0.387162468980456
3958.80858,15.323,0.006,0.504249668602902
3960.80868,15.425,0.006,0.620286491420261
3963.80541,15.063,0.006,0.783883825572185
3965.79725,15.063,0.005,0.874662679209576
3967.817,15.583,0.006,0.0507865594567399
3969.7829,15.627,0.006,0.0622443815538031
3971.75842,15.565,0.006,0.103118869934729
3974.76062,15.08,0.005,0.283442728471019
3979.71607,15.137,0.005,0.436542410299625
3980.59869,15.41,0.007,0.13547567391398
3981.62295,15.077,0.005,0.267525009516069
3983.88433,15.235,0.006,0.182520934910909
3987.76392,15.566,0.006,0.045785420401077
3990.77116,15.113,0.005,0.241520921150169
3993.7141,15.126,0.005,0.24063566908334
3995.71871,15.058,0.005,0.370463465386727
3999.72612,15.413,0.006,0.624584321405053
4002.7033,15.101,0.005,0.728400384678937
4004.65495,15.151,0.005,0.69628362314208
4006.68136,15.089,0.005,0.892772887740705
4007.67416,15.139,0.005,0.928621774141885
4008.5534,15.441,0.006,0.617219452304627
4013.67787,15.079,0.005,0.287159564008137
4015.65894,15.066,0.006,0.345005206014262
4017.67642,15.36,0.005,0.514187731536075
4019.66538,15.534,0.006,0.596159932481231
4021.65879,15.165,0.005,0.691739634981788
4024.63217,15.064,0.005,0.783935809285514
4026.61113,15.024,0.005,0.835329355048678
4028.60689,15.153,0.005,0.938095041517476
4030.61613,15.618,0.006,0.0820807551688629
4032.67111,15.075,0.005,0.365933237621753
4037.58249,15.08,0.005,0.384272786065121
4039.58578,15.346,0.006,0.510064199885029
4041.5779,15.52,0.007,0.601699255868117
4043.57098,15.153,0.006,0.696269862746762
4046.54331,15.043,0.005,0.785255278256907
4048.54626,15.118,0.006,0.910007017800495
4050.56771,15.59,0.006,0.0913292694278744
4052.54011,15.474,0.006,0.122663217392676
4054.59466,15.102,0.005,0.405200817672612
4056.56664,15.135,0.005,0.435250462118869
4059.52823,15.278,0.006,0.491394401963756
4061.5637,15.116,0.005,0.715587928157633
4065.58087,15.336,0.006,0.99955355163267
4067.54125,15.324,0.006,0.994131956070542
4069.56525,15.226,0.005,0.183251764769636
4072.62251,15.449,0.006,0.531941698736111
4076.62505,15.067,0.006,0.77117074968049
4078.58364,15.075,0.005,0.760275574838734
4080.59563,15.119,0.005,0.912670418665973
4083.61775,15.321,0.006,0.153906958324746
4087.57758,15.09,0.005,0.262534572991952
4093.59712,15.195,0.005,0.669478374008976
4099.59273,15.344,0.006,0.00324745318109617
4103.61965,15.056,0.005,0.317027265457045
4111.57172,15.371,0.005,0.633387916230735
4124.5666,15.086,0.005,0.369983380500549
4132.56867,15.06,0.006,0.839237307181414
4252.90775,15.048,0.006,0.819960522956498
4255.82195,15.11,0.007,0.731192215896548
4273.90729,15.514,0.008,0.0337297855972498
4278.93091,15.077,0.006,0.395284159796968
4279.88256,15.046,0.006,0.305301880126952
4282.78932,15.193,0.007,0.193783053613915
4283.90624,15.499,0.007,0.609174208126917
4285.89952,15.15,0.006,0.704356388110426
4291.91996,15.528,0.007,0.114052268095888
4293.88806,15.435,0.006,0.132237394331153
4296.87229,15.084,0.006,0.257611409508369
4297.90503,15.095,0.006,0.415591444702718
4299.84013,15.034,0.006,0.332867008838525
4300.86149,15.151,0.006,0.456048534442342
4301.87956,15.565,0.007,0.569169682487006
4302.89574,15.224,0.006,0.676511464701001
4303.92009,15.069,0.006,0.808836008198331
4307.87939,15.122,0.006,0.915842954141543
4308.64106,15.099,0.006,0.244927383336416
4308.79568,15.138,0.006,0.717734549750809
4310.81958,15.112,0.006,0.906548571900918
4311.80779,15.159,0.007,0.928361855572457
4312.88214,15.126,0.006,0.213579674977687
4314.90186,15.08,0.006,0.38961181925951
4316.80899,15.142,0.006,0.221358884858424
4319.84049,15.265,0.006,0.491278203072275
4326.81437,15.078,0.006,0.816465382668015
4327.79432,15.065,0.006,0.813020697160976
4328.81009,15.133,0.006,0.919108754513616
4329.89497,15.118,0.006,0.236525897826222
4331.87649,15.066,0.006,0.295747579315509
4333.91076,15.363,0.007,0.516271666885767
4338.87898,15.167,0.006,0.70842029138315
4340.75073,15.111,0.006,0.431980074946966
4341.74678,15.211,0.006,0.477767024284101
4342.77106,15.503,0.007,0.609877517195007
4343.74012,15.569,0.007,0.573132676196843
4345.76825,15.079,0.006,0.774881469487283
4347.75717,15.075,0.006,0.856731355809241
4349.74883,15.158,0.006,0.946959793656148
4354.73767,15.172,0.006,0.202161605136083
4356.74006,15.056,0.006,0.325200939986887
4358.77,15.438,0.007,0.532484469867164
4361.69784,15.238,0.007,0.485425448472136
4363.60079,15.057,0.006,0.304390636205545
4364.75627,15.073,0.006,0.837693085094832
4367.67702,15.092,0.006,0.768953797178836
4371.6426,15.102,0.006,0.895164138574714
4373.6609,15.598,0.007,0.0668541138227427
4377.73267,15.366,0.006,0.517779194587614
4379.62437,15.037,0.006,0.302343395240588
4380.72019,15.301,0.006,0.65321358731842
4382.66432,15.537,0.007,0.598101677086252
4387.70956,15.427,0.005,0.0257671037872786
4390.6493,15.386,0.006,0.0150966820621015
4392.67354,15.154,0.006,0.20495037848436
4395.65492,15.037,0.006,0.321609476935348
4397.69555,15.555,0.007,0.561581589204668
4400.62504,15.377,0.007,0.519568045915029
4403.63411,15.127,0.006,0.720899440562776
4408.6372,15.407,0.007,0.0196758356766323
